Efficiency,Id,Identifier,Title,Videos,Readed Videos
45750,322,UCaSCt8s_4nfkRglWCvNSDrg,CodeAesthetic,8,8
17647,97,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,221,222
14042,145,UC9vLsnF6QPYuH51njmIooCQ,System Design Interview,7,7
13000,301,UCW_4e6sUTMWHxlF06aErH9w,Code With Antonio,19,19
10000,261,UCS0N5baNlQWJCUrhCEo8WlA,Ben Eater,122,122
9495,306,UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck,416,411
8907,93,UCdngmbVKX1Tgre699-XLlUA,TechWorld with Nana,119,119
7453,37,UCZgt6AzoyjslHTC9dz0UoTw,ByteByteGo,108,108
6885,344,UCGKEMK3s-ZPbjVOIuAV8clQ,Core Dumped,7,7
6278,358,UCLtOpyx344v-l0kreCSUEFg,AstroSam,14,15
5732,73,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,1652,1653
5545,331,UCxVPH8W2ayMey1-b0SY8rBQ,The Coding Sloth,22,22
4906,340,UCR2uRTQ53V_egXKFflMMaaw,Artem Kirsanov,32,32
4817,64,UCsBjURrPoezykLs9EqgamOA,Fireship,631,632
4577,171,UCVTlvUkGslCV_h-nSAId8Sw,LearnCode.academy,168,169
4350,314,UC8ENHE5xdFSwx71u3fDH5Xw,ThePrimeagen,80,81
4242,113,UCWlbj3trSoIU3SHrJCSiAuA,IGotAnOffer: Engineering,14,14
4236,307,UCHb7nqRBKoJzcWGvZ3fqlyw,Kari,11,11
4089,265,UCkcqmxjMXaBb0kDWqqSEU1g,Sahil & Sarra,157,157
3950,280,UCHvDhwNuq-h2hZQRR6BwbLQ,Tech With Nikola,10,10
3877,317,UCkCJ0zLrSg7VudR97g-FNVQ,Kenny Gunderman,57,59
3840,311,UC3sH8ShnMyB5MxavG1DaklA,Algorithmic Simplicity,5,5
3836,216,UCYbK_tjZ2OrIZFBvU6CCMiA,Brackeys,464,466
3015,107,UC7yZ6keOGsvERMp2HaEbbXQ,devaslife,66,66
2946,319,UC-4nsAH5j9AIhv5tHoQSP9g,Interview Pen,32,32
2800,315,UC6biysICWOJ-C3P4Tyeggzg,Low Level Learning,195,196
2783,376,UCWr0mx597DnSGLFk1WfvSkQ,Hallden,249,250
2755,244,UCt9cudqajvAG6n70cQW1exQ,SyncMain,9,9
